,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
pagar,"(1, 1)","(30, 1)","(48, 2)","(57, 1)","(64, 2)","(66, 1)","(84, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
associação,"(1, 1)","(50, 1)","(82, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
defesa,"(1, 3)","(6, 4)","(10, 2)","(19, 3)","(20, 4)","(26, 1)","(32, 1)","(39, 1)","(64, 1)","(71, 1)","(75, 4)","(84, 1)","(90, 1)","(104, 7)","(123, 1)","(126, 1)","(127, 3)","(129, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marcelo,"(1, 1)","(41, 2)","(64, 3)","(65, 1)","(66, 1)","(71, 2)","(73, 2)","(75, 3)","(97, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conseguiu,"(1, 1)","(74, 1)","(119, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trouxe,"(1, 1)","(46, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seminário,"(1, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mudou,"(1, 1)","(12, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ver,"(1, 1)","(11, 2)","(21, 2)","(22, 1)","(25, 2)","(34, 1)","(68, 1)","(77, 2)","(94, 1)","(102, 1)","(112, 1)","(116, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jato,"(1, 5)","(11, 1)","(19, 1)","(68, 1)","(81, 1)","(128, 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diretamente,"(1, 1)","(8, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
federais,"(1, 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
golpe,"(1, 2)","(5, 1)","(17, 2)","(21, 1)","(22, 1)","(23, 1)","(25, 1)","(31, 1)","(32, 2)","(35, 1)","(37, 1)","(40, 1)","(42, 1)","(63, 1)","(85, 1)","(92, 1)","(95, 1)","(99, 1)","(125, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brasileiras,"(1, 1)","(40, 1)","(57, 1)","(92, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
livre,"(1, 5)","(6, 2)","(11, 2)","(15, 1)","(18, 1)","(19, 3)","(25, 1)","(26, 4)","(71, 1)","(89, 1)","(102, 2)","(104, 3)","(106, 1)","(110, 1)","(116, 1)","(126, 1)","(129, 6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
situação,"(1, 1)","(47, 1)","(67, 1)","(69, 1)","(74, 1)","(75, 1)","(123, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tantas,"(1, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outro,"(1, 3)","(2, 1)","(6, 1)","(22, 1)","(26, 1)","(30, 2)","(36, 1)","(48, 1)","(70, 1)","(89, 1)","(98, 1)","(103, 1)","(113, 2)","(114, 2)","(122, 1)","(132, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tanto,"(1, 1)","(61, 1)","(75, 1)","(82, 2)","(120, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
questionando,"(1, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deveria,"(1, 1)","(12, 2)","(68, 1)","(83, 1)","(91, 2)","(127, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
destruição,"(1, 3)","(16, 2)","(72, 1)","(80, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reforma,"(1, 4)","(4, 1)","(6, 2)","(9, 1)","(12, 1)","(13, 4)","(22, 1)","(30, 6)","(32, 1)","(37, 2)","(47, 5)","(48, 5)","(53, 1)","(55, 3)","(61, 1)","(69, 1)","(70, 1)","(96, 1)","(132, 3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extrema-direita,"(1, 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
politico,"(1, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partido,"(1, 1)","(2, 2)","(6, 8)","(11, 2)","(36, 1)","(45, 8)","(65, 3)","(71, 4)","(74, 1)","(106, 2)","(121, 3)","(126, 1)","(129, 2)","(130, 3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
época,"(1, 1)","(36, 6)","(39, 1)","(73, 1)","(129, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cotidiana,"(1, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
criminosa,"(1, 1)","(11, 1)","(19, 1)","(128, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
descobrindo,"(1, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
propondo,"(1, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
construção,"(1, 1)","(10, 2)","(36, 2)","(69, 3)","(119, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caracterizar,"(1, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
completa,"(1, 1)","(5, 1)","(11, 1)","(19, 1)","(128, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
condições,"(1, 1)","(32, 1)","(57, 1)","(85, 1)","(108, 1)","(122, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ano,"(1, 2)","(6, 2)","(7, 1)","(11, 2)","(13, 2)","(18, 1)","(19, 1)","(20, 1)","(22, 3)","(23, 1)","(26, 1)","(27, 1)","(36, 1)","(41, 2)","(47, 1)","(48, 1)","(50, 4)","(52, 3)","(54, 3)","(55, 2)","(56, 1)","(57, 8)","(58, 5)","(60, 2)","(62, 2)","(65, 1)","(67, 1)","(69, 1)","(70, 1)","(76, 1)","(78, 1)","(91, 5)","(101, 1)","(102, 1)","(104, 2)","(109, 1)","(114, 1)","(116, 2)","(119, 1)","(120, 1)","(124, 1)","(128, 1)","(129, 3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parceria,"(1, 1)","(64, 1)","(121, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ex-presidente,"(1, 2)","(6, 7)","(11, 6)","(15, 2)","(18, 2)","(19, 6)","(20, 5)","(22, 2)","(23, 1)","(26, 3)","(27, 1)","(39, 1)","(41, 3)","(61, 3)","(81, 2)","(86, 1)","(87, 1)","(91, 1)","(94, 2)","(101, 2)","(102, 1)","(104, 3)","(106, 3)","(126, 2)","(128, 1)","(129, 6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
público,"(1, 2)","(6, 3)","(10, 1)","(18, 1)","(19, 1)","(32, 1)","(39, 1)","(40, 1)","(43, 2)","(44, 2)","(55, 1)","(56, 1)","(71, 2)","(72, 1)","(75, 1)","(95, 1)","(101, 1)","(109, 2)","(129, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preceito,"(1, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rede,"(1, 1)","(10, 1)","(23, 1)","(44, 1)","(69, 1)","(89, 1)","(98, 1)","(109, 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deixou,"(1, 1)","(47, 1)","(129, 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acha,"(1, 2)","(12, 1)","(74, 1)","(77, 1)","(82, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gleisi,"(1, 1)","(6, 1)","(19, 1)","(104, 1)","(128, 5)","(129, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relações,"(1, 1)","(36, 1)","(45, 1)","(75, 1)","(98, 1)","(118, 2)","(127, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
março,"(1, 1)","(6, 1)","(17, 1)","(20, 1)","(21, 1)","(23, 1)","(25, 2)","(36, 1)","(41, 1)","(47, 1)","(50, 8)","(52, 4)","(53, 1)","(54, 3)","(55, 3)","(56, 6)","(57, 6)","(58, 7)","(89, 1)","(92, 1)","(98, 1)","(111, 1)","(115, 1)","(119, 3)","(124, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apreensivos,"(1, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
previdência,"(1, 2)","(4, 1)","(6, 2)","(9, 1)","(12, 1)","(13, 2)","(22, 1)","(30, 7)","(32, 1)","(47, 3)","(55, 1)","(61, 1)","(83, 3)","(96, 1)","(132, 4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chegar,"(1, 1)","(6, 1)","(62, 1)","(84, 1)","(116, 1)","(120, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
última,"(1, 1)","(4, 1)","(8, 1)","(25, 1)","(41, 1)","(89, 1)","(95, 1)","(110, 1)","(129, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ministério,"(1, 3)","(6, 1)","(10, 1)","(14, 1)","(18, 1)","(19, 1)","(32, 1)","(34, 3)","(39, 1)","(41, 1)","(51, 1)","(55, 1)","(72, 1)","(76, 2)","(79, 2)","(97, 1)","(100, 1)","(101, 1)","(107, 2)","(109, 2)","(114, 2)","(123, 2)","(129, 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
continua,"(1, 2)","(50, 2)","(75, 1)","(88, 1)","(104, 1)","(112, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequer,"(1, 1)","(25, 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deltan,"(1, 1)","(19, 1)","(39, 1)","(128, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dinheiro,"(1, 1)","(10, 1)","(19, 1)","(20, 1)","(30, 6)","(58, 1)","(73, 1)","(75, 3)","(98, 1)","(102, 1)","(126, 1)","(128, 4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
point,"(1, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abriremos,"(1, 3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contundentes,"(1, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mão,"(1, 3)","(22, 2)","(25, 1)","(48, 2)","(123, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
achar,"(1, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fazermos,"(1, 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ações,"(1, 1)","(19, 4)","(26, 1)","(29, 1)","(34, 1)","(41, 1)","(55, 1)","(67, 1)","(69, 4)","(79, 1)","(86, 1)","(111, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
primeiro,"(1, 3)","(6, 1)","(19, 1)","(47, 1)","(50, 1)","(58, 1)","(66, 3)","(68, 1)","(75, 2)","(76, 1)","(88, 1)","(94, 1)","(104, 2)","(107, 2)","(114, 1)","(124, 1)","(128, 1)","(132, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stj,"(1, 1)","(11, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milhão,"(1, 1)","(7, 1)","(66, 3)","(73, 2)","(75, 2)","(84, 1)","(109, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operação,"(1, 4)","(10, 1)","(19, 1)","(39, 1)","(66, 1)","(113, 1)","(128, 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
julgamento,"(1, 2)","(11, 1)","(19, 2)","(39, 1)","(86, 2)","(129, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deputada,"(1, 4)","(6, 1)","(7, 1)","(17, 1)","(19, 2)","(74, 3)","(104, 1)","(128, 1)","(131, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stf,"(1, 1)","(11, 1)","(20, 1)","(22, 1)","(122, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feita,"(1, 1)","(2, 1)","(63, 1)","(72, 1)","(80, 1)","(89, 1)","(100, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoffmann,"(1, 1)","(6, 1)","(19, 1)","(104, 1)","(128, 1)","(129, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
segunda,"(1, 2)","(10, 1)","(19, 2)","(26, 1)","(36, 2)","(45, 1)","(50, 1)","(53, 1)","(86, 3)","(123, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
povo,"(1, 1)","(6, 2)","(11, 1)","(12, 1)","(22, 2)","(36, 1)","(82, 1)","(94, 1)","(104, 1)","(112, 1)","(118, 2)","(119, 2)","(124, 1)","(128, 1)","(129, 3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desidratar,"(1, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
engendrada,"(1, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quinta-feira,"(1, 1)","(8, 1)","(15, 1)","(19, 1)","(41, 1)","(52, 3)","(54, 2)","(58, 1)","(61, 1)","(78, 2)","(81, 1)","(96, 1)","(101, 1)","(110, 1)","(116, 1)","(120, 1)","(127, 1)","(128, 1)","(131, 1)","(132, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pouco,"(1, 3)","(25, 1)","(28, 1)","(43, 2)","(74, 1)","(77, 1)","(89, 2)","(102, 1)","(115, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liberar,"(1, 1)","(59, 1)","(70, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contratos,"(1, 1)","(20, 1)","(55, 1)","(64, 4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receberam,"(1, 1)","(19, 1)","(128, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claro,"(1, 1)","(115, 1)","(123, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volta,"(1, 1)","(6, 1)","(8, 3)","(75, 1)","(82, 1)","(129, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adiamento,"(1, 1)","(86, 1)","(115, 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perseguição,"(1, 1)","(6, 3)","(19, 2)","(21, 1)","(71, 1)","(101, 1)","(129, 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faremos,"(1, 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fizeram,"(1, 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ministro,"(1, 1)","(4, 2)","(6, 5)","(9, 2)","(11, 1)","(12, 1)","(13, 5)","(14, 1)","(20, 1)","(30, 1)","(34, 1)","(39, 2)","(41, 5)","(45, 1)","(47, 1)","(55, 2)","(60, 1)","(63, 1)","(68, 2)","(81, 1)","(86, 1)","(96, 5)","(97, 3)","(98, 1)","(103, 1)","(106, 1)","(114, 6)","(122, 3)","(123, 1)","(126, 1)","(128, 1)","(131, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
posição,"(1, 1)","(12, 1)","(64, 1)","(122, 1)","(132, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demais,"(1, 1)","(70, 1)","(75, 1)","(96, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
